Fraction_Size	Depth	Lakes_names	Assembly	 contigs (>= 0 bp)	 contigs (>= 1000 bp)	 contigs (>= 5000 bp)	 contigs (>= 10000 bp)	 contigs (>= 25000 bp)	 contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	 contigs	Largest contig	Total length	N50	N90	auN	L50	L90	 N's per 100 kbp
S	H	CERN	CERNH-SM-30jul20.megahit.nv.contigs	849093	143020	20044	9941	3757	1455	958942025	607352790	383805235	313611041	218027376	138131193	425247	968282	797554842	4314	641	31426.6	23271	283677	0.00
			
L	E	CERT	CERTE-LM-04jun20.megahit.nv.contigs	2051633	165585	17188	9043	3783	1472	1461882398	623645844	366568838	310726609	227974839	147828532	737394	826852	1000916863	1718	573	29897.0	67813	550054	0.00
L	E	CERT	CERTE-LM-30jul20.megahit.nv.contigs	3160289	178830	14300	7448	3028	1164	1896606887	551342473	296157164	249017158	180036491	114401498	1129211	1023494	1186082491	929	557	19581.1	222162	904113	0.00
S	E	CERT	CERTE-SM-04jun20.megahit.nv.contigs	1117815	158310	16068	8168	3285	1378	1054634457	588930128	340971850	286617809	211230742	144882733	514613	789503	828112980	2499	609	33748.6	37697	363967	0.00
S	E	CERT	CERTE-SM-30jul20.megahit.nv.contigs	774313	132937	20509	10157	3937	1764	965590283	652972924	442520610	371334242	276420638	201109089	378586	1200640	819332968	6797	678	51155.8	14842	237267	0.00
L	H	CERT	CERTH-LM-04jun20.megahit.nv.contigs	2579645	437485	45693	18126	5592	1973	2476603927	1416705754	697554534	509671103	320225556	195131510	1297888	862679	1998986441	2202	617	20163.3	141362	937405	0.00
L	H	CERT	CERTH-LM-30jul20.megahit.nv.contigs	2076072	379217	38453	16638	5682	2187	2124081145	1273323844	652006842	503557781	336324831	215093172	1076448	695671	1749764783	2409	636	22444.0	105685	765588	0.00
S	H	CERT	CERTH-SM-04jun20.megahit.nv.contigs	2666455	399315	35291	14581	4518	1635	2318351004	1195519514	550712849	409852425	258141933	158739795	1293683	575894	1796168496	1729	593	16890.7	166357	963314	0.00
S	H	CERT	CERTH-SM-30jul20.megahit.nv.contigs	2078416	353935	33904	14635	5248	2076	2027197409	1161809807	589703604	458360806	316582092	205392859	1064593	879136	1645182872	2146	621	23486.6	109479	768736	0.00
			
S	E	CINC	CINCE-SM-03aug21.megahit.nv.contigs	2455117	331276	22468	8026	2144	662	1833222630	838646878	297742353	200022947	112226563	62242231	1092255	673321	1353567543	1377	588	10159.9	191819	842132	0.00
S	E	CINC	CINCE-SM-16apr22.megahit.nv.contigs	1910089	290012	24665	8598	2087	573	1504707946	796979162	304877063	196289586	100337337	48840878	769803	404682	1125276117	1898	625	9599.1	115105	568246	0.00
S	H	CINC	CINCH-SM-03aug21.megahit.nv.contigs	2591454	395081	33510	13107	3570	1003	2150625284	1102869026	457158900	318529000	175467911	88020653	1197048	643317	1647326149	1679	604	11230.4	174226	896696	0.00
S	H	CINC	CINCH-SM-16apr22.megahit.nv.contigs	1696546	264128	26922	9833	2233	620	1422140374	775817358	337321286	221100130	108435551	53198747	724193	425618	1090006869	2040	625	10811.0	96031	528938	0.00
			
S	M	CLAY	CLAYM-SM-20sep21.megahit.nv.contigs	2483295	361495	28636	10030	2382	645	1896030568	958372637	355092363	229064438	116238068	56627302	1009321	522341	1399718344	1710	611	9296.0	159312	755518	0.00
S	M	CLAY	CLAYM-SM-26may22.megahit.nv.contigs	1992589	306109	23933	8592	2040	530	1584722593	807870561	302407072	197982404	100991398	49644785	885111	1579285	1201833883	1637	606	11704.0	141060	666493	0.00
			
L	E	CONS	CONSE-LM-08sep20.megahit.nv.contigs	3951019	508924	16402	2805	421	83	2638168470	986071612	138486557	50612961	17128831	5784129	1808469	125073	1864053694	1060	569	2301.4	456412	1458419	0.00
S	E	CONS	CONSE-SM-03may22.megahit.nv.contigs	1858238	226608	21818	5898	856	145	1337284183	589422586	214452069	106048059	34072585	10326856	769638	162797	953071941	1430	580	4815.6	130773	592260	0.00
S	E	CONS	CONSE-SM-08sep20.megahit.nv.contigs	4006995	404292	25643	7500	1457	355	2417077184	949430524	276427928	154628308	66300370	29332939	1265285	305182	1533329040	1355	588	5466.4	245924	981872	0.00
L	H	CONS	CONSH-LM-08sep20.megahit.nv.contigs	2836552	374804	30963	11622	3160	919	2160770383	1026454778	414316159	283259128	156332385	79918783	1215916	470243	1594866878	1541	593	10287.2	186698	922491	0.00
S	H	CONS	CONSH-SM-03may22.megahit.nv.contigs	3111535	325234	25684	8834	2124	550	1991089769	847750142	312200553	197764440	98550777	45419619	1020985	371247	1318613871	1508	594	7849.5	169209	778548	0.00
S	H	CONS	CONSH-SM-08sep20.megahit.nv.contigs	2896110	307268	30102	11602	2802	838	1920302766	900221927	396337782	269925349	139432680	72714367	879049	420340	1289667724	1922	618	11364.9	116202	646352	0.00
			
S	E	CRUZ	CRUZE-SM-04apr22.megahit.nv.contigs	1170801	207100	22455	9294	2605	887	1105220638	669869933	329063719	238643883	137572867	78920952	526263	592917	888470352	2524	651	16427.0	56068	370261	0.00
S	E	CRUZ	CRUZE-SM-08sep21.megahit.nv.contigs	1005917	184624	22369	8585	2847	1153	1027674275	667210814	349115214	255607411	169314508	110624487	432869	422218	836861376	3366	687	22153.9	39517	289408	0.00
S	H	CRUZ	CRUZH-SM-04apr22.megahit.nv.contigs	1075755	186566	27208	12836	3975	1280	1139099173	733998713	435998455	336216892	201194047	109038182	484678	731129	937467846	4013	671	20308.4	34539	322394	0.00
S	H	CRUZ	CRUZH-SM-08sep21.megahit.nv.contigs	1929474	301187	30879	12871	3843	1282	1729730739	946499248	465623542	342273816	206389291	118166633	927281	633389	1371493020	1960	611	16297.2	106448	679016	0.00
			
S	M	EDVL	EDVLM-SM-20sep21.megahit.nv.contigs	3102059	475079	41115	13768	2957	726	2481421313	1267693136	482729297	297109225	138085986	62228717	1377980	745451	1882698825	1670	608	8472.1	216579	1035982	0.00
S	M	EDVL	EDVLM-SM-26may22.megahit.nv.contigs	2760623	367997	33098	11318	2213	481	2046207502	984174637	377267727	228810355	95763541	37500915	1111973	404000	1487831137	1626	599	7115.2	175526	839634	0.00
			
S	E	ERKE	ERKEE-SM-17aug21.megahit.nv.contigs	3856176	481510	39540	11873	1935	416	2651796853	1218595277	415102298	227863851	83547724	33207950	1415047	326841	1852452559	1562	600	5827.8	243464	1076120	0.00
S	E	ERKE	ERKEE-SM-18may22.megahit.nv.contigs	2604140	395332	27167	8049	1641	361	1958095295	961104052	292943006	164500403	70845226	28022467	1109820	280550	1448884186	1547	606	5701.7	202203	846114	0.00
S	H	ERKE	ERKEH-SM-17aug21.megahit.nv.contigs	4294858	594330	45189	13900	2386	529	3116979502	1474226533	483061856	271624068	103898045	41930311	1743528	401528	2255257286	1523	599	5868.8	309105	1330758	0.00
S	H	ERKE	ERKEH-SM-18may22.megahit.nv.contigs	2846939	393084	29431	8801	1416	311	2082598553	958832326	307374948	167585122	60770448	24310001	1214837	259242	1516098019	1427	592	5251.4	222945	935676	0.00
			
S	E	FANT	FANTE-SM-11apr22.megahit.nv.contigs	1825564	307334	30440	10969	2651	805	1609110613	899979170	385914194	253683246	130291187	67516949	840780	389888	1264298385	2038	626	10926.6	112245	614431	0.00
S	E	FANT	FANTE-SM-30jul21.megahit.nv.contigs	1909832	298181	25802	9857	2845	871	1602526483	851937163	359596190	251165122	145606099	78527360	864263	463178	1236205089	1819	610	12889.5	119533	640108	0.00
S	H	FANT	FANTH-SM-11apr22.megahit.nv.contigs	1801099	309211	30965	10661	2494	797	1604821709	911591489	390374132	252111932	132388780	74400203	829786	449991	1266510921	2110	627	12581.4	109853	603350	0.00
S	H	FANT	FANTH-SM-30jul21.megahit.nv.contigs	2201418	359496	35582	12737	3265	1106	1915108448	1073663556	472592439	317515123	177897441	103715496	977379	478418	1494536611	2107	626	14054.8	125099	709821	0.00
			
L	M	FERT	FERTM-LM-29jul20.megahit.nv.contigs	3123399	464895	41495	14284	3055	753	2456759751	1259109751	486180306	301198382	135550068	57391260	1317301	247867	1841795712	1745	615	7532.0	202467	984616	0.00
S	M	FERT	FERTM-SM-05apr22.megahit.nv.contigs	1870167	242470	19639	7129	1641	411	1364902993	635677746	239360414	154177959	72794730	30937044	759523	256615	984636426	1517	593	7364.7	124203	578286	0.00
S	M	FERT	FERTM-SM-29jul20.megahit.nv.contigs	2083952	227129	21718	8266	2047	546	1405840206	653359311	278852248	186914099	93259115	42795855	668124	394473	951881619	1836	608	9434.0	92205	494928	0.00
			
L	E	FUNE	FUNEE-LM-16jul20.megahit.nv.contigs	1294743	66333	1832	514	134	41	707295990	120706134	20804493	12238939	6583084	3397044	521642	237475	419276484	743	537	2368.7	171651	440688	0.00
S	E	FUNE	FUNEE-SM-16jul20.megahit.nv.contigs	852565	154904	18124	7420	2318	794	855328458	539418471	279967344	206946951	129850462	77116319	381228	876688	695026466	3035	674	22808.8	35753	261163	0.00
S	E	FUNE	FUNEE-SM-27apr22.megahit.nv.contigs	1323159	219232	18996	7364	2400	925	1215281740	661277621	297094221	218355292	143259757	92171245	692640	487682	982916802	1819	607	17800.7	88943	514216	0.00
L	H	FUNE	FUNEH-LM-16jul20.megahit.nv.contigs	2695680	375889	41975	17238	4915	1741	2344002939	1236424392	625200074	455876163	270615853	161436531	1240150	607698	1821473970	2041	608	16738.2	136426	909283	0.00
S	H	FUNE	FUNEH-SM-16jul20.megahit.nv.contigs	1679918	331571	42215	18638	5947	2019	1885874807	1214042747	675670887	513802915	320216745	184579138	886848	552283	1594235982	3170	659	21007.1	73146	608644	0.00
S	H	FUNE	FUNEH-SM-27apr22.megahit.nv.contigs	1602081	305664	27533	10858	3401	1263	1580267686	934422262	426156892	312620331	201164344	127641336	838494	699995	1298067849	2113	629	19943.6	100839	606728	0.00
			
L	E	FUSW	FUSWE-LM-16jul20.megahit.nv.contigs	1715551	310117	30818	6824	902	329	1447602648	845561601	296936809	135571726	54770365	35437596	712491	752147	1123519564	2217	659	9722.8	113474	516485	0.00
S	E	FUSW	FUSWE-SM-16jul20.megahit.nv.contigs	729556	136588	14079	5460	1867	631	733570848	445554248	217674070	159041671	105265603	61435989	364004	510595	601259870	2466	645	20233.9	38593	257892	0.00
S	E	FUSW	FUSWE-SM-27apr22.megahit.nv.contigs	934123	156254	15566	6623	2407	1020	913184201	529616336	276446762	215230672	151578442	102467199	466011	735627	740299911	2311	626	25723.0	44539	333336	0.00
L	H	FUSW	FUSWH-LM-16jul20.megahit.nv.contigs	2372963	418079	38185	17479	5955	2061	2265201147	1319007056	642569430	501025768	324353414	189708348	1167556	969568	1833739008	2125	635	19036.8	128622	841713	0.00
S	H	FUSW	FUSWH-SM-16jul20.megahit.nv.contigs	1747036	299488	34217	14778	4850	1833	1758360559	1047397560	562265554	428733346	278639516	174125949	867327	779396	1434000393	2612	634	21493.0	78356	611977	0.00
S	H	FUSW	FUSWH-SM-27apr22.megahit.nv.contigs	1194804	208690	19660	7791	2408	870	1127383831	646022848	302332445	221338330	140855932	87156040	592899	860688	908082383	2086	626	19634.6	69704	430200	0.00
			
S	E	GARD	GARDE-SM-06jul21.megahit.nv.contigs	2992106	338609	24840	7642	1287	284	1914475474	826124318	263992040	148098206	55670032	22336887	999987	336551	1275988012	1480	598	5624.7	181905	766119	0.00
S	E	GARD	GARDE-SM-10may22.megahit.nv.contigs	2636822	319735	22442	6937	1295	262	1753350671	770132903	242292751	137555164	55580870	21292023	961587	441519	1207639190	1427	597	5680.0	178843	740184	0.00
S	H	GARD	GARDH-SM-06jul21.megahit.nv.contigs	2608877	301705	30339	11075	2612	746	1813056157	882597437	384457180	252717547	127167005	63946744	846318	412659	1252699634	1978	619	10855.1	112704	620420	0.00
S	H	GARD	GARDH-SM-10may22.megahit.nv.contigs	2690710	315672	27853	10041	2333	594	1858868298	865332525	345780776	224354142	109826038	51011985	949777	412319	1295167410	1673	602	9143.4	143206	713393	0.00
			
L	E	GOSK	GOSKE-LM-21jul20.megahit.nv.contigs	5147194	407140	20757	5031	771	176	2968991976	833745639	198698119	93458857	33631106	13647348	1919111	219258	1852848395	915	558	2995.2	504203	1568030	0.00
S	E	GOSK	GOSKE-SM-21jul20.megahit.nv.contigs	1910444	256894	17391	6389	1573	453	1414339890	646881176	224978692	150814647	78808705	40775503	830851	488255	1037102030	1392	592	8871.9	146797	639860	0.00
S	E	GOSK	GOSKE-SM-22jun22.megahit.nv.contigs	2279825	269712	19810	7759	1612	560	1621993395	679156264	265993237	182511592	91836018	56656909	1000682	659101	1174564021	1206	581	10781.6	185672	782384	0.00
L	H	GOSK	GOSKH-LM-21jul20.megahit.nv.contigs	4659715	407436	28055	5734	391	96	2780166211	896014174	240064013	89564986	17436114	7612405	1705565	202620	1772506178	1011	566	2900.9	397726	1371879	0.00
S	H	GOSK	GOSKH-SM-21jul20.megahit.nv.contigs	1902403	266530	29202	8666	1425	324	1483201939	767722387	311124903	171749975	67079366	30818024	749955	518324	1095625185	2040	616	8541.6	106515	551928	0.00
S	H	GOSK	GOSKH-SM-22jun22.megahit.nv.contigs	1950586	273645	21524	5904	1003	332	1449192909	682469359	229589131	123538195	54375012	31796986	842129	518388	1068177120	1465	594	7565.5	149358	645933	0.00
			
L	E	GREF	GREFE-LM-09sep20.megahit.nv.contigs	4168611	551086	34172	10618	1734	350	2977606251	1257566405	362819081	203128504	73863442	28536459	1876620	648045	2154394793	1221	580	4777.2	387072	1475865	0.00
S	E	GREF	GREFE-SM-05may22.megahit.nv.contigs	2727843	332607	26068	8048	1450	315	1853571251	832944993	280517485	158547697	62456132	24674111	995868	284257	1284128945	1507	599	5835.6	174746	760727	0.00
S	E	GREF	GREFE-SM-09sep20.megahit.nv.contigs	4049046	482257	37476	12093	2200	512	2744176560	1216025313	416226219	244292642	99941547	43575747	1473113	445919	1888309902	1493	595	6644.5	256422	1126284	0.00
L	H	GREF	GREFH-LM-09sep20.megahit.nv.contigs	2955625	452477	30932	9790	2193	602	2286326265	1109045656	357690611	215045844	103801243	49703592	1341182	387028	1716456352	1471	601	6855.1	242821	1027620	0.00
S	H	GREF	GREFH-SM-05may22.megahit.nv.contigs	3045350	386015	26748	8196	1545	327	2080353323	932165143	288022839	163089818	66377856	25494420	1147456	406672	1450535333	1456	597	5617.2	212381	881513	0.00
S	H	GREF	GREFH-SM-09sep20.megahit.nv.contigs	3896819	491637	38094	12014	2378	540	2701339563	1242559507	421969048	245446934	104101842	42071881	1441639	327575	1889933117	1552	603	6298.8	248671	1096658	0.00
			
L	E	HALL	HALLE-LM-15jul20.megahit.nv.contigs	2158779	251921	12394	3230	394	67	1443524926	523831660	116805938	55334017	15204446	4553950	961741	130264	999328049	1052	563	2897.6	228347	773059	0.00
S	E	HALL	HALLE-SM-15jul20.megahit.nv.contigs	3721190	437772	36737	11629	2264	505	2502006289	1134510052	403209862	233335301	96480193	37918152	1281089	261757	1707232594	1614	602	6277.8	212140	969172	0.00
S	E	HALL	HALLE-SM-28apr22.megahit.nv.contigs	2725127	318448	19470	5499	1023	245	1756868291	733757739	202915612	109207913	44550846	18868575	971043	243108	1177356046	1358	591	4819.5	192812	753955	0.00
L	H	HALL	HALLH-LM-15jul20.megahit.nv.contigs	3478325	459182	30896	9915	2415	756	2515161704	1131607459	372310866	231207803	121355197	64824887	1468001	422142	1818613402	1381	593	7627.2	267868	1133464	0.00
S	H	HALL	HALLH-SM-15jul20.megahit.nv.contigs	3413930	415033	38022	13304	3201	846	2386128389	1161808293	465844810	297984705	148440548	68275173	1143093	401908	1658717388	1887	620	9069.9	165589	844331	0.00
S	H	HALL	HALLH-SM-28apr22.megahit.nv.contigs	2929014	316440	24849	8238	1711	437	1891557530	809558193	286587210	173571127	77809225	34690054	983653	308117	1260335488	1494	592	6812.8	167468	751547	0.00
			
L	M	JIRK	JIRKM-LM-03jun20.megahit.nv.contigs	2656121	357084	23825	8823	2662	907	2009702819	923332738	332308235	231557227	139236833	79024090	1196409	489353	1489918137	1400	587	10004.4	204541	920869	0.00
L	M	JIRK	JIRKM-LM-10aug20.megahit.nv.contigs	1225788	161552	19043	8437	2703	985	1065397703	573959517	314346943	241235939	154340110	95318070	505919	908789	804208886	2506	608	22309.1	44725	359181	0.00
S	M	JIRK	JIRKM-SM-03jun20.megahit.nv.contigs	2047101	365888	28995	11234	3397	1041	1831253597	1021691956	407730905	287672547	169819865	88472202	1006306	426682	1457014497	1849	616	11682.2	144590	743288	0.00
S	M	JIRK	JIRKM-SM-10aug20.megahit.nv.contigs	1409714	188026	18678	7927	2466	911	1163847860	603475489	300414009	226737591	143685669	90140520	584790	908789	872077924	2018	610	20017.8	64385	426418	0.00
			
S	M	KAST	KASTM-SM-14sep21.megahit.nv.contigs	2616234	401379	39785	13713	2927	764	2144097575	1140668771	472067045	294528603	135768111	63246608	1131260	560484	1636298604	1908	614	9010.2	159897	835390	0.00
S	M	KAST	KASTM-SM-22mar22.megahit.nv.contigs	1633608	256761	27083	9899	2129	482	1377996550	755436453	328775304	211343808	96726565	41734283	707105	462255	1061734088	2057	621	10038.9	93820	516270	0.00
			
L	E	KLIC	KLICE-LM-12aug20.megahit.nv.contigs	2331771	354041	25842	7814	1810	533	1823024133	901028027	301011575	180282166	92337120	49019073	1047992	977081	1374468632	1559	604	8783.1	179595	797428	0.00
L	E	KLIC	KLICE-LM-25nov20.megahit.nv.contigs	3202922	499334	49681	18885	4778	1355	2725222380	1473849592	650235836	439958964	229783264	114155441	1422731	526371	2103206304	1968	620	11152.1	186526	1044038	0.00
L	E	KLIC	KLICE-LM-29apr20.megahit.nv.contigs	2967834	364000	19159	5163	978	226	1992790182	808077013	197584633	104576305	43947521	18968087	1228246	302561	1390246967	1218	576	4408.8	261233	968960	0.00
S	E	KLIC	KLICE-SM-11aug21.megahit.nv.contigs	3420144	363723	27531	8612	1775	468	2173805499	918468967	311538417	183950129	84093824	40137129	1126316	1057994	1433886283	1486	591	7855.2	195816	862155	0.00
S	E	KLIC	KLICE-SM-12aug20.megahit.nv.contigs	3662426	345054	31949	10620	1958	520	2235378703	940825890	366606682	221353261	94687226	46975074	1033828	541535	1407824289	1695	602	8517.7	158403	776535	0.00
S	E	KLIC	KLICE-SM-25nov20.megahit.nv.contigs	4261661	533296	41043	12214	2473	634	2939260479	1352126111	450991980	257311422	115384072	53347734	1537515	582883	2036721131	1594	605	6863.5	263963	1166254	0.00
S	E	KLIC	KLICE-SM-28apr21.megahit.nv.contigs	4115874	394081	24535	7308	1318	285	2431229598	910951477	262206768	146167548	59185026	24658163	1305628	373742	1526141300	1271	580	5200.1	262163	1021747	0.00
S	E	KLIC	KLICE-SM-29apr20.megahit.nv.contigs	3577455	351409	26161	8605	1682	378	2197086397	871426378	297537236	178444301	77026594	33832560	1156091	1123171	1415456454	1359	586	7560.2	209588	894009	0.00
L	H	KLIC	KLICH-LM-12aug20.megahit.nv.contigs	2515919	437592	41226	15733	4265	1194	2242638121	1273626690	546634886	372848379	201750548	97023493	1159111	460786	1770114056	2038	637	10985.6	154727	844923	0.00
L	H	KLIC	KLICH-LM-25nov20.megahit.nv.contigs	4031735	426201	25807	7274	1411	380	2665926623	966614593	275774879	151679951	67220526	32428476	1719504	537055	1839739497	1058	569	4888.7	380719	1374319	0.00
L	H	KLIC	KLICH-LM-29apr20.megahit.nv.contigs	798640	495659	31274	10673	2279	591	1441395638	1177218305	370748062	231814751	107674985	50960434	798639	631993	1441395613	1966	882	9026.8	153197	623782	0.00
S	H	KLIC	KLICH-SM-11aug21.megahit.nv.contigs	3496429	423368	33635	11433	2461	628	2421773969	1094870068	397825925	247305761	115048275	53144933	1307123	548171	1693788852	1514	595	7826.8	218539	996093	0.00
S	H	KLIC	KLICH-SM-12aug20.megahit.nv.contigs	3282850	512008	46013	15394	3248	761	2627228160	1381862225	528172703	320428716	142282356	58580155	1409282	315997	1993338087	1792	613	7443.9	216359	1048902	0.00
S	H	KLIC	KLICH-SM-24nov21.megahit.nv.contigs	2773115	406045	33924	10804	2240	596	2131415015	1070957706	388266148	231683112	106865558	51645823	1158196	389596	1581605006	1693	605	7884.3	185792	870185	0.00
S	H	KLIC	KLICH-SM-25nov20.megahit.nv.contigs	3245684	528848	52314	19818	5165	1486	2820166870	1563176317	689276830	467674618	249343846	124064093	1454310	527192	2196591839	2032	628	11473.6	189049	1061458	0.00
S	H	KLIC	KLICH-SM-28apr21.megahit.nv.contigs	4282482	450568	30023	9348	1755	386	2678461469	1071292198	326812663	187721862	76668873	31217644	1462561	527503	1755345548	1328	584	5507.8	281163	1137212	0.00
S	H	KLIC	KLICH-SM-29apr20.megahit.nv.contigs	561606	413556	32669	11054	2515	642	1205881604	1071538890	390074822	244000308	117807561	54282047	561605	376441	1205881479	2530	979	10528.5	95037	427459	0.00
			
S	E	KOZK	KOZKE-SM-21mar22.megahit.nv.contigs	2559400	338269	26905	9091	1932	534	1904009481	871801513	318308692	197418549	92451217	45869337	1110388	426679	1391363781	1428	583	7703.8	188805	851870	0.00
S	E	KOZK	KOZKE-SM-21sep21.megahit.nv.contigs	2164585	318473	26497	9712	2403	703	1718146527	863222617	340789784	226854355	118228054	60855772	944873	654616	1289577544	1650	606	10262.1	144426	710096	0.00
S	H	KOZK	KOZKH-SM-21mar22.megahit.nv.contigs	2578787	360281	25671	8517	1838	485	1926487001	886724409	300826636	184539743	86459708	40446557	1158261	312050	1426172077	1371	584	6858.6	210526	893738	0.00
S	H	KOZK	KOZKH-SM-21sep21.megahit.nv.contigs	2185647	303779	22974	7322	1735	534	1610712248	782719150	274263835	168503737	86012551	45151380	870537	329033	1168816257	1618	607	8229.2	144741	657831	0.00
			
L	E	KUCX	KUCXE-LM-01sep20.megahit.nv.contigs	3641922	434396	20484	6021	1256	314	2440634979	930222735	222184691	125860345	55619665	23733270	1581887	187011	1707749029	1102	573	4050.7	361559	1262523	0.00
S	E	KUCX	KUCXE-SM-01sep20.megahit.nv.contigs	4233809	525980	36369	11594	2261	541	2887559597	1277039715	406788183	239441681	102718386	45113112	1593222	446005	2004356840	1431	597	6234.8	293464	1225510	0.00
S	E	KUCX	KUCXE-SM-04may22.megahit.nv.contigs	3548564	443294	26805	6893	1120	241	2368619492	1004246548	262383837	129079880	46703014	17353013	1387572	163709	1642282752	1317	582	4054.3	282594	1082848	0.00
L	H	KUCX	KUCXH-LM-01sep20.megahit.nv.contigs	3904292	528352	33368	10912	2362	552	2833851133	1252285651	382445009	231238210	104164500	42987824	1713371	398253	2059506768	1311	589	5717.7	332404	1333327	0.00
S	H	KUCX	KUCXH-SM-01sep20.megahit.nv.contigs	4091919	551204	42705	13329	2549	558	2951931873	1380950412	467440449	268482127	109297332	42742520	1628593	309236	2117142063	1517	603	6001.8	285096	1242364	0.00
S	H	KUCX	KUCXH-SM-04may22.megahit.nv.contigs	4106952	476475	32931	10026	1940	439	2714979340	1142198202	355227011	200733885	83080357	32751499	1525531	274654	1852683058	1353	587	5226.7	289106	1182912	0.00
			
L	E	LAND	LANDE-LM-16jun20.megahit.nv.contigs	3287229	448026	29659	8466	2082	529	2412463507	1093679338	334199225	193526145	99533208	46913172	1438670	758028	1766974060	1383	591	7136.9	267251	1113233	0.00
L	E	LAND	LANDE-LM-30jul20.megahit.nv.contigs	2911268	447503	35751	12815	3132	847	2365226131	1176734275	444086164	288183093	144959453	66956145	1379874	356153	1812488301	1532	601	8026.7	225066	1048832	0.00
S	E	LAND	LANDE-SM-16jun20.megahit.nv.contigs	1993784	328657	39518	15969	4128	1174	1833869679	1084651880	544965732	383033689	204687592	104015391	860314	758052	1449386916	2619	652	15049.0	90536	605740	0.00
S	E	LAND	LANDE-SM-30jul20.megahit.nv.contigs	1815773	330745	36021	13466	3663	1128	1751164231	1043084555	492155584	338700411	193284466	106519300	877775	733251	1417204312	2372	641	15792.0	101351	626851	0.00
L	H	LAND	LANDH-LM-16jun20.megahit.nv.contigs	2451048	365583	33331	12728	3528	1196	2083370268	1073582220	473608416	333652122	196037843	115753220	1162088	505210	1611359946	1740	600	14523.8	156336	867292	0.00
L	H	LAND	LANDH-LM-30jul20.megahit.nv.contigs	2366672	394567	34610	13374	4001	1364	2105187760	1152086870	501720089	357320288	217321202	126184728	1142234	603522	1661832610	1870	617	14695.3	151758	842375	0.00
S	H	LAND	LANDH-SM-16jun20.megahit.nv.contigs	1720694	322305	36667	14763	4095	1269	1715976420	1050413962	518851022	368765640	208901306	112483839	834210	485435	1402479289	2559	654	15395.7	89284	588491	0.00
S	H	LAND	LANDH-SM-30jul20.megahit.nv.contigs	2162640	362008	36716	14218	3484	879	1908154223	1072938413	472712683	319162896	158393315	70001504	984977	548696	1498586881	2077	629	10375.6	128004	717204	0.00
			
S	E	LUGA	LUGAE-SM-06jul21.megahit.nv.contigs	3067253	384403	27835	8772	1899	446	2083348764	962461229	315311531	186868689	86050639	36829335	1087035	391578	1441645181	1587	607	6938.1	189275	824649	0.00
S	E	LUGA	LUGAE-SM-17may22.megahit.nv.contigs	2786486	338796	23408	8002	1662	379	1905902976	822784404	270788532	166256742	72958067	30603979	1099423	360951	1338223624	1341	586	6297.1	204884	852084	0.00
S	H	LUGA	LUGAH-SM-06jul21.megahit.nv.contigs	3789682	424889	29086	10699	2618	725	2545770962	1050547125	369766721	244996027	124526670	60295773	1464325	365033	1753515985	1286	583	7576.4	270514	1138841	0.00
S	H	LUGA	LUGAH-SM-17may22.megahit.nv.contigs	3729271	429693	35930	12645	2929	802	2541310806	1145292079	438933566	280350239	137312456	64931555	1321275	572656	1749369252	1577	598	8317.6	209819	1000573	0.00
S	X	LUGA	LUGAX-SM-06jul21.megahit.nv.contigs	2682299	456887	42493	15855	3772	921	2349999358	1290015845	532386439	350729426	170747746	74149087	1278469	453136	1850550599	1870	619	9368.8	181491	945091	0.00
S	X	LUGA	LUGAX-SM-17may22.megahit.nv.contigs	2196007	374110	33991	12392	3230	967	1928973339	1058745406	439704908	292722614	156260042	78962140	1059606	629277	1525632857	1847	616	10554.1	149514	784487	0.00
			
S	E	MAGG	MAGGE-SM-12jul21.megahit.nv.contigs	2909988	358543	25112	7561	1222	257	1992506926	848029367	263182142	144282667	52529906	20409926	1173293	352979	1399071650	1304	584	5005.3	227534	913855	0.00
S	E	MAGG	MAGGE-SM-16may22.megahit.nv.contigs	2823723	389688	25035	6523	1068	233	1997762564	905891072	247638778	123765275	45837153	17903884	1168047	220185	1432893695	1405	588	4502.1	228270	903486	0.00
S	H	MAGG	MAGGH-SM-12jul21.megahit.nv.contigs	2087693	287518	31843	12665	3511	1054	1686424026	919834151	443800634	312900994	175232039	91397607	781911	634320	1256019928	2378	632	14466.2	87376	557909	0.00
S	H	MAGG	MAGGH-SM-16may22.megahit.nv.contigs	1846160	235396	26954	10909	2912	898	1434850501	762138720	376385048	266324838	146262790	77220039	659317	633981	1049908272	2361	627	14321.9	72051	471424	0.00
			
L	E	MAJC	MAJCE-LM-01sep20.megahit.nv.contigs	4274929	540555	33891	10271	2024	377	2975977604	1256012054	362841433	204189505	82406269	27328751	1804869	342983	2114040783	1264	584	4627.3	362450	1413037	0.00
S	E	MAJC	MAJCE-SM-01sep20.megahit.nv.contigs	4847716	571723	50619	16513	3359	790	3314702718	1532134041	574132167	342986671	148907122	62788178	1652907	633392	2267893132	1710	608	7314.3	259615	1240400	0.00
S	E	MAJC	MAJCE-SM-04may22.megahit.nv.contigs	2485470	302599	21297	5801	725	137	1687608078	703683762	206673665	101630838	29871787	10828786	994005	463948	1171314240	1287	582	4287.0	197835	776503	0.00
