Fraction_Size	Depth	Lakes_names	Assembly	 contigs (>= 0 bp)	 contigs (>= 1000 bp)	 contigs (>= 5000 bp)	 contigs (>= 10000 bp)	 contigs (>= 25000 bp)	 contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	 contigs	Largest contig	Total length	N50	N90	auN	L50	L90	 N's per 100 kbp
L	E	RIMV	RIMVE-LM-08jun20.megahit.nv.contigs	5041805	402087	18132	4010	647	174	2786548373	826311508	172272723	78727157	31261582	15579290	1643551	675088	1654609068	998	558	3580.4	403082	1329979	0.00
L	E	RIMV	RIMVE-LM-10aug20.megahit.nv.contigs	4064203	500342	27037	6865	1480	490	2749838468	1136742394	294010986	159760295	82031203	48390806	1637255	546508	1907245212	1271	583	6393.8	336899	1283467	0.00
L	E	RIMV	RIMVE-LM-12oct20.megahit.nv.contigs	4822734	464458	19176	5178	1026	293	3009376157	936812052	203581892	110406857	51090535	26383109	2079870	541823	2026505436	932	561	3904.7	543716	1696847	0.00
L	E	RIMV	RIMVE-LM-15mar21.megahit.nv.contigs	4719977	487493	21814	6403	1615	478	3026314146	1022271620	250810081	148379601	78481079	39509735	2021694	288754	2058530474	993	565	4575.4	494514	1633990	0.00
L	E	RIMV	RIMVE-LM-18may20.megahit.nv.contigs	5696616	579124	19642	5089	972	218	3513775026	1111625717	199002406	102481807	42270516	17307026	2424573	323704	2348658478	951	557	2905.7	643446	1979695	0.00
L	E	RIMV	RIMVE-LM-20jul20.megahit.nv.contigs	4574723	522564	17161	4486	852	189	2892788924	1012117225	173341936	89591531	36858590	14352937	1922354	228251	1963154588	1030	570	2955.7	492455	1554132	0.00
L	E	RIMV	RIMVE-LM-21sep20.megahit.nv.contigs	3176345	431033	24705	7296	1354	282	2293462092	971227219	261544036	144621079	58545188	22709275	1468694	233003	1673781146	1212	579	4517.7	308491	1157356	0.00
L	E	RIMV	RIMVE-LM-27apr20.megahit.nv.contigs	2570841	319212	17434	4851	711	122	1719294946	708714494	172429285	88352053	28507182	9362900	1042283	297436	1195243738	1257	578	3801.8	219614	819428	0.00
L	E	RIMV	RIMVE-LM-29jun20.megahit.nv.contigs	3365885	276037	17783	6620	1685	459	2129226192	650974718	225676611	149638031	76309841	34055100	1419568	270914	1416404160	922	557	5298.7	335724	1150963	0.00
L	E	RIMV	RIMVE-LM-31aug20.megahit.nv.contigs	4194015	537902	28224	9563	2260	606	2959041703	1214160112	346446548	220772033	111788463	56098310	1888509	432929	2129656699	1174	578	6471.6	399616	1491890	0.00
